new_id,batch,sex,dobday,dobmon,dobyear,fathermonin,sscins,sscboard,sscsub,sscgrade,ssctotal,sscyear,data,hscboard,hscsub,hscgrade,hsctotal,hscyear
1,20162,male,15,7,1999,60000/-,IDEAL SCHOOL AND COLLEGE,COMILLA,SCIENCE,A,4.56,2014,IDEAL SCHOOL AND COLLEGE,,SCIENCE,APP,,2016
2,20022,m,,,,,,,,,,,,,,,,
3,20120,male,1,8,1992,20000/-,TANGAIL TEC SCHOOL,BTEB,,A,4.14,2009,TANGAIL TEC SCHOOL,BTEB,,A,4.28,2011
4,20090,male,26,4,1990,30000/-,SENAPALLY HIGH SCHOOL,DHAKA,SCIENCE,,4.5,2006,SENAPALLY HIGH SCHOOL,DHAKA,SCIENCE,,3.8,2008
5,20111,male,1,2,1990,15000/-,JOYPURHAT R.B. GOVT. HIGH SCHOOL,RAJSHAHI,SCIENCE,A,4.25,2006,JOYPURHAT R.B. GOVT. HIGH SCHOOL,BTEB,SCIENCE,B,3.22,2010
6,20160,female,21,7,1997,50000/-,GOVT. MODEL GIRLS HIGH SCHOOL,COMILLA,SCIENCE,A,4.63,2013,GOVT. MODEL GIRLS HIGH SCHOOL,COMILLA,SCIENCE,A-,3.83,2015
7,20162,male,30,6,1993,20000/=,KULIARCHAR PILOT HIGH SCHOOL,DHAKA,SCIENCE,5,A+,2009,KULIARCHAR PILOT HIGH SCHOOL,DHAKA,SCIENCE,5,A,2011
8,20032,m,,,,,,,,,,,,,,,,
9,20120,male,3,12,1993,40000,RANGPUR KALITALA HIGH SCHOOL,JESSORE,SCIENCE,,4.81,2008,RANGPUR KALITALA HIGH SCHOOL,JESSORE,SCIENCE,,3.2,2011
10,20161,male,14,9,1995,30000/-,BINDU BASINI GOVT. BOYS HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2012,BINDU BASINI GOVT. BOYS HIGH SCHOOL,DHAKA,SCIENCE,A,4.1,2014
11,20092,male,2,2,1990,60000/-,MIRPUR GOVT. H. SCHOOL,DHAKA,SCIENCE,,3.94,2007,MIRPUR GOVT. H. SCHOOL,DHAKA,SCIENCE,,3,2009
12,20170,female,22,12,1998,35000/-,BRRI HIGH SCHOOL,DHAKA,SCIENCE,A,4.75,2013,BRRI HIGH SCHOOL,DHAKA,SCIENCE,A,4,2015
13,20120,male,1,12,1993,11000/-,GANO BHABAN GOVT. HIGH SCHOOL,DHAKA,SCIENCE,,3.94,2009,GANO BHABAN GOVT. HIGH SCHOOL,DHAKA,SCIENCE,,3.9,2011
14,20112,male,25,4,1989,100000,"WILLES LITTLE FLOWER HIGH SCHOOL, DHAKA",DHAKA,SCIENCE,,4.38,2004,"WILLES LITTLE FLOWER HIGH SCHOOL, DHAKA",DHAKA,SCIENCE,,3.4,2007
15,20141,female,22,8,1996,80000/-,KURMITOLA HIGH SCHOOL,DHAKA,SCIENCE,A,4.25,2011,KURMITOLA HIGH SCHOOL,DHAKA,SCIENCE,A,4.7,2013
16,20152,male,28,2,1997,25000/-,HIGH SCHOOL,DHAKA,SCIENCE,,4.06,2012,HIGH SCHOOL,DHAKA,SCIENCE,,4.7,2014
17,20152,female,12,4,1996,50000/-,BADDA ALATUNNESA,DHAKA,SCIENCE,A+,5,2011,BADDA ALATUNNESA,DHAKA,SCIENCE,A,4.3,2013
18,20160,male,13,9,1996,40000/-,UTTARA HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2012,UTTARA HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2014
19,20120,male,4,1,1993,40000,SOS HERMANN GMEINER SCHOOL,JESSORE,SCIENCE,A,4.75,2008,SOS HERMANN GMEINER SCHOOL,JESSORE,SCIENCE,B,3.4,2011
20,20030,m,,,,,,,,,,,,,,,,
21,20160,male,4,1,1997,60000/-,CAMBRIAN SCHOOL,DHAKA,SCIENCE,A,4.75,2013,CAMBRIAN SCHOOL,DHAKA,SCIENCE,A,4.75,2015
22,20160,male,30,5,1996,40000/-,DHAKESHWARI MILLS HIGH SCHOOL,DHAKA,SCIENCE,A,4.91,2013,DHAKESHWARI MILLS HIGH SCHOOL,DHAKA,SCIENCE,A,4.25,2015
23,20160,male,30,5,1997,35000/-,GHATAIL GANO HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2013,GHATAIL GANO HIGH SCHOOL,DHAKA,SCIENCE,A,4.17,2015
24,20030,m,,,,,,,,,,,,,,,,
25,20132,female,2,1,1991,60000/-,NOAKHALI GOVT. GIRLS SCHOOL,COMILLA,SCIENCE,A,4.69,2007,NOAKHALI GOVT. GIRLS SCHOOL,COMILLA,SCIENCE,A-,3.7,2009
26,20161,male,31,12,1997,70000/-,UTTARA HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2013,UTTARA HIGH SCHOOL,DHAKA,SCIENCE,A,4.89,2015
27,20161,female,26,7,1998,25000/-,BAF SHAHEEN COLLEGE,DHAKA,SCIENCE,A,4.88,2013,BAF SHAHEEN COLLEGE,DHAKA,SCIENCE,A,4.42,2015
28,20170,,1,1,1997,40000,RAJSHAHI MODEL SCHOOL COLLEGE,RAJSHAHI,SCIENCE,A,4.38,2011,RAJSHAHI MODEL SCHOOL COLLEGE,TECHNICAL,CSE,,2.99,2016
29,20160,female,1,10,1997,50000/-,BAJITPUR RAJJAKUNNESA PILOT GIRLS HIGH SCHOOL,DHAKA,SCIENCE,A,4.38,2012,BAJITPUR RAJJAKUNNESA PILOT GIRLS HIGH SCHOOL,DHAKA,SCIENCE,A,4.1,2014
30,20121,male,13,10,1992,31000,HAZI MALIK MAZEDA KHATUN HIGH SCHOOL,DHAKA,SCIENCE,4.44,,2007,HAZI MALIK MAZEDA KHATUN HIGH SCHOOL,DHAKA,SCIENCE,3.4,,2010
31,20021,m,,,,,,,,,,,,,,,,
32,20141,female,25,11,1996,25000/-,COLLEGATE GIRLS SCHOOL,DINAJPUR,SCIENCE,,4.5,2011,COLLEGATE GIRLS SCHOOL,DINAJPUR,SCIENCE,,3.6,2013
33,20161,male,4,12,1997,20000/-,CHARFASSION TWON SCHOOL,BARISAL,SCIENCE,A,4.38,2013,CHARFASSION TWON SCHOOL,BARISAL,SCIENCE,A-,3.75,2015
34,20171,female,17,6,1997,100000,SOLMAID HIGH SCHOOL,DHAKA,SCIENCE,5,A+,2013,SOLMAID HIGH SCHOOL,DHAKA,SCIENCE,5,A+,2015
35,20110,male,1,1,1949,50000/-,APBN PUBLIC SCHOOL,RAJSHAHI,SCIENCE,,4.63,2007,APBN PUBLIC SCHOOL,RAJSHAHI,SCIENCE,,3.4,2009
36,20152,male,17,11,1996,100000/-,TIARA A.B. HIGH SCHOOL,COMILLA,SCIENCE,A,4.5,2013,TIARA A.B. HIGH SCHOOL,COMILLA,SCIENCE,A-,3.5,2015
37,20130,male,8,1,1994,15000,"H.M.INSTITUTION HASTISUNDA,BARISAL",DHAKA,SCIENCE,A,4.75,2010,"H.M.INSTITUTION HASTISUNDA,BARISAL",DHAKA,SCIENCE,A,4.3,2012
38,20152,male,21,6,1997,15000/-,KENDUA JOYHARI SPRY GOVT. H. SCHOOL,DHAKA,SCIENCE,A-,3.94,2013,KENDUA JOYHARI SPRY GOVT. H. SCHOOL,DHAKA,SCIENCE,A,4,2015
39,20130,male,30,12,1994,20000,"PATKELGHATA AL AMIN FADIL MADRASHA,SATKHIRA",DHAKA,SCIENCE,A+,5,2010,"PATKELGHATA AL AMIN FADIL MADRASHA,SATKHIRA",JESSORE,SCIENCE,A-,3.7,2012
40,20150,male,1,12,1993,50000/-,B.A.R.I HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2009,B.A.R.I HIGH SCHOOL,DHAKA,SCIENCE,A-,3.8,2012
41,20082,male,1,1,1988,20000/-,MONIPUR HIGH SCHOOL,DHAKA,SCIENCE,A,4.5,2003,MONIPUR HIGH SCHOOL,DHAKA,SCIENCE,A,4,2005
42,20151,male,1,3,1995,50000/-,BANANI BIDYANIKETAN,DHAKA,SCIENCE,,4.25,2012,BANANI BIDYANIKETAN,DHAKA,SCIENCE,,4.2,2014
43,20170,male,25,10,1997,50000/-,HAZI JAIAL UDDIN HIGJ SCHOOL,DHAKA,SCIENCE,4,A,2014,HAZI JAIAL UDDIN HIGJ SCHOOL,DHAKA,SCIENCE,4.13,A,2016
44,20091,male,1,5,1991,15000/-,RAYENDA PILOT H. SCHOOL,DHAKA,SCIENCE,,4.38,2006,RAYENDA PILOT H. SCHOOL,DHAKA,SCIENCE,,4.8,2008
45,20030,m,,,,,,,,,,,,,,,,
46,20142,female,1,10,1996,50000/-,KURIPARA GANO HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2011,KURIPARA GANO HIGH SCHOOL,DHAKA,SCIENCE,A-,3.8,2013
47,20031,m,,,,,,,,,,,,,,,,
48,20170,male,25,11,1997,20000,COMPANYGONJ B.A HIGH SCHOOL,COMILLA,SCIENCE,B,3.38,2014,COMPANYGONJ B.A HIGH SCHOOL,COMILLA,SCIENCE,A-,3.92,2016
49,20130,female,24,9,1994,40000,PUBALI JUTE MILLS HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2010,PUBALI JUTE MILLS HIGH SCHOOL,DHAKA,SCIENCE,A,4.7,2012
50,20150,male,14,8,1997,40000/-,CHOWDHURANI HIGH SCHOOL,DINAJPUR,SCIENCE,A+,5,2012,CHOWDHURANI HIGH SCHOOL,DINAJPUR,SCIENCE,A,4.6,2014
51,20132,male,21,2,1994,20000/-,MOTIJHEEL MODEL SCHOOL,DHAKA,SCIENCE,A+,5,2009,MOTIJHEEL MODEL SCHOOL,DHAKA,SCIENCE,B,3.2,2013
52,20100,male,10,9,1992,30000/-,SONTOSPUR HIGH SCHOOL,RAJSHAHI,SCIENCE,,4,2007,SONTOSPUR HIGH SCHOOL,DINAJPUR,SCIENCE,,2.7,2009
53,20151,female,24,8,1995,40000/-,UTTARA HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2011,UTTARA HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2013
54,20151,male,10,10,1995,30000/-,AL SABAH ACADEMY,DHAKA,SCIENCE,A+,5,2010,AL SABAH ACADEMY,DHAKA,SCIENCE,A+,5,2012
55,20161,male,2,5,1997,20000/-,BAGHA HIGH SCHOOL,RAJSHAHI,SCIENCE,A+,5,2013,BAGHA HIGH SCHOOL,RAJSHAHI,SCIENCE,A,4.08,2015
56,20160,female,25,9,1997,40000/-,CAMBRIAN SCHOOL AND COLLEGE,DHAKA,SCIENCE,,4.25,2013,CAMBRIAN SCHOOL AND COLLEGE,DHAKA,SCIENCE,,4.75,2015
57,20050,m,,,,,,,,,,,,,,,,
58,20142,male,1,7,1997,50000/-,MOTIJHEEL GOVT HIGH SCHOOL,DHAKA,SCIENCE,A+,5,2012,MOTIJHEEL GOVT HIGH SCHOOL,DHAKA,SCIENCE,A,4.3,2014
59,20170,male,25,10,1996,10000,MASUA HIGH SCHOOL,DHAKA,SCIENCE,A,4.5,2012,MASUA HIGH SCHOOL,DHAKA,SCIENCE,A-,3.5,2016
60,20170,male,16,7,1998,30000/-,GOPAL NAGAR HIGH SCHOOL,COMILLA,SCIENCE,A+,53,2014,GOPAL NAGAR HIGH SCHOOL,COMILLA,SCIENCE,A,4.42,2016
61,20111,male,14,5,1991,100000/-,ADBM HIGH SCHOOL,DHAKA,SCIENCE,,3.31,2006,ADBM HIGH SCHOOL,DHAKA,SCIENCE,,3.12,2010
